formula,gfa
Ag0Mg95Y5,0
Ag5Mg90Y5,0
Ag30Mg20Y50,0
Ag40Mg20Y40,0
Ag50Mg40Y10,0
Ag0Pd79Si21,1
Ag0Pd80Si20,1
Ag0Pd82Si18,1
Ag0Pd84Si16,1
Ag0Pd85Si15,1
Ag4.5Pd75.5Si20,1
Ag4.5Pd79Si16.5,1
Ag5Pd77Si18,1
Ag5Pd79Si16,1
Ag5.5Pd78Si16.5,1
Ag8.5Pd75Si16.5,1
Ag4Pd79.5Si16.5,1
Ag1.7Pd81.8Si16.5,1
Ag4.2Pd79.3Si16.5,1
Ag6.7Pd76.8Si16.5,1
Ag10Pd73.5Si16.5,1
Ag12.5Pd71Si16.5,1
Ag15Pd68.5Si16.5,1
Ag6Pd77.5Si16.5,1
Ag20.9Pd62.6Si16.5,0
Al25Au20La55,1
Al0B18Co82,1
Al0B22Co78,1
Al0B26Co74,1
Al0B30Co70,1
Al0B36Co64,1
Al0B38Co62,1
Al0B40Co60,1
Al4B18Co78,1
Al4B22Co74,1
Al4B26Co70,1
Al4B30Co66,1
Al4B34Co62,1
Al8B18Co74,1
Al8B22Co70,1
Al8B26Co66,1
Al8B30Co62,1
Al8B34Co58,1
Al12B18Co70,1
Al12B22Co66,1
Al12B26Co62,1
Al12B30Co58,1
Al12B34Co54,1
Al12B38Co50,1
Al16B14Co70,1
Al16B18Co66,1
Al16B22Co62,1
Al16B26Co58,1
Al16B30Co54,1
Al16B34Co50,1
Al20B26Co54,1
Al20B30Co50,1
Al20B34Co46,1
Al20B38Co42,1
Al24B26Co50,1
Al24B34Co42,1
Al24B40Co36,1
Al8B14Co78,0
Al12B14Co74,0
Al20B18Co62,0
Al20B22Co58,0
Al4B10Co86,0
Al4B14Co82,0
Al8B10Co82,0
Al12B6Co82,0
Al12B10Co78,0
Al16B10Co74,0
Al20B10Co70,0
Al20B14Co66,0
Al24B22Co54,0
Al0B13Fe87,1
Al0B18Fe82,1
Al0B22Fe78,1
Al4B14Fe82,1
Al4B18Fe78,1
Al4B22Fe74,1
Al8B14Fe78,1
Al8B18Fe74,1
Al8B22Fe70,1
Al12B14Fe74,1
Al12B22Fe66,1
Al16B14Fe70,1
Al16B18Fe66,1
Al16B22Fe62,1
Al16B26Fe58,1
Al20B14Fe66,1
Al20B18Fe62,1
Al20B26Fe54,1
Al20B30Fe50,1
Al20B34Fe46,1
Al4B10Fe86,0
Al8B10Fe82,0
Al12B6Fe82,0
Al12B10Fe78,0
Al16B10Fe74,0
Al0B18Ni82,1
Al0B30Ni70,1
Al0B34Ni66,1
Al0B38Ni62,1
Al0B40Ni60,1
Al0B42Ni58,1
Al4B18Ni78,1
Al4B22Ni74,1
Al4B26Ni70,1
Al4B30Ni66,1
Al4B34Ni62,1
Al4B38Ni58,1
Al4B42Ni54,1
Al8B18Ni74,1
Al8B22Ni70,1
Al8B26Ni66,1
Al8B30Ni62,1
Al8B34Ni58,1
Al8B38Ni54,1
Al8B42Ni50,1
Al12B18Ni70,1
Al12B22Ni66,1
Al12B26Ni62,1
Al12B30Ni58,1
Al12B34Ni54,1
Al16B18Ni66,1
Al16B22Ni62,1
Al16B26Ni58,1
Al16B30Ni54,1
Al16B34Ni50,1
Al16B38Ni46,1
Al20B18Ni62,1
Al20B22Ni58,1
Al20B26Ni54,1
Al20B30Ni50,1
Al20B34Ni46,1
Al20B40Ni40,1
Al24B26Ni50,1
Al12B14Ni74,0
Al24B14Ni62,0
Al24B18Ni58,0
Al24B22Ni54,0
Al28B22Ni50,0
Al0B22Ni78,0
Al0B26Ni74,0
Al16B14Ni70,0
Al20B14Ni66,0
Al28B30Ni42,0
Al85Ca10Co5,1
Al89Ca11Co0,1
Al90Ca10Co0,1
Al91Ca9Co0,1
Al85Ca10Cu5,1
Al89Ca11Cu0,1
Al90Ca10Cu0,1
Al91Ca9Cu0,1
Al87.5Ca7.5Fe5,1
Al90Ca7.5Fe2.5,1
Al85Ca10Fe5,1
Al89Ca11Fe0,1
Al90Ca10Fe0,1
Al91Ca9Fe0,1
Al85Ca10Fe5,0
Al87.5Ca10Fe2.5,0
Al90Ca10Fe0,0
Al92.5Ca2.5Fe5,0
Al92.5Ca7.5Fe0,0
Al90Ca5Fe5,0
Al10Ca60Ga30,1
Al20Ca60Ga20,1
Al30Ca60Ga10,1
Al40Ca60Ga0,1
Al15Ca70Mg15,1
Al22.5Ca70Mg7.5,1
Al30Ca70Mg0,1
Al85Ca10Mg5,1
Al89Ca11Mg0,1
Al90Ca10Mg0,1
Al91Ca9Mg0,1
Al20Ca10Mg70,1
Al85Ca10Ni5,1
Al87.5Ca7.5Ni5,1
Al90Ca7.5Ni2.5,1
Al89Ca11Ni0,1
Al90Ca10Ni0,1
Al91Ca9Ni0,1
Al87.5Ca10Ni2.5,0
Al90Ca10Ni0,0
Al90Ca0Ni10,0
Al92.5Ca2.5Ni5,0
Al92.5Ca7.5Ni0,0
Al80Ca10Ni10,0
Al85Ca5Ni10,0
Al87.5Ca2.5Ni10,0
Al88.75Ca1.25Ni10,0
Al90Ca5Ni5,0
Al85Ca10Zn5,1
Al89Ca11Zn0,1
Al90Ca10Zn0,1
Al91Ca9Zn0,1
Al80Ce5Co15,1
Al80Ce10Co10,1
Al83Ce5Co12,1
Al85Ce5Co10,1
Al85Ce10Co5,1
Al87Ce8Co5,1
Al88Ce2Co10,1
Al88Ce10Co2,1
Al90Ce3Co7,1
Al90Ce5Co5,1
Al90Ce10Co0,1
Al91Ce9Co0,1
Al92Ce8Co0,1
Al93Ce7Co0,1
Al88Ce12Co0,0
Al89Ce11Co0,0
Al75Ce5Co20,0
Al75Ce10Co15,0
Al75Ce15Co10,0
Al77Ce10Co13,0
Al80Ce15Co5,0
Al87Ce13Co0,0
Al90Ce0Co10,0
Al94Ce4Co2,0
Al94Ce6Co0,0
Al95Ce2Co3,0
Al85Ce10Cr5,1
Al87Ce10Cr3,1
Al90Ce10Cr0,1
Al91Ce9Cr0,1
Al92Ce8Cr0,1
Al93Ce7Cr0,1
Al88Ce12Cr0,1
Al89Ce8Cr3,0
Al89Ce11Cr0,0
Al80Ce10Cr10,0
Al80Ce15Cr5,0
Al83Ce10Cr7,0
Al87Ce8Cr5,0
Al87Ce13Cr0,0
Al94Ce6Cr0,0
Al93Ce2Cr5,0
Al94Ce2Cr4,0
Al75Ce10Cu15,1
Al80Ce5Cu15,1
Al80Ce10Cu10,1
Al83Ce7Cu10,1
Al85Ce5Cu10,1
Al85Ce10Cu5,1
Al87Ce8Cu5,1
Al88Ce10Cu2,1
Al90Ce10Cu0,1
Al91Ce9Cu0,1
Al92Ce8Cu0,1
Al93Ce7Cu0,1
Al6Ce10Cu84,1
Al8Ce8Cu84,1
Al8Ce10Cu82,1
Al10Ce8Cu82,1
Al12Ce8Cu80,1
Al88Ce5Cu7,0
Al88Ce12Cu0,0
Al89Ce11Cu0,0
Al90Ce5Cu5,0
Al2Ce8Cu90,0
Al2Ce10Cu88,0
Al4Ce8Cu88,0
Al4Ce10Cu86,0
Al6Ce6Cu88,0
Al6Ce8Cu86,0
Al8Ce6Cu86,0
Al10Ce4Cu86,0
Al10Ce6Cu84,0
Al70Ce10Cu20,0
Al70Ce15Cu15,0
Al75Ce5Cu20,0
Al75Ce15Cu10,0
Al80Ce15Cu5,0
Al83Ce2Cu15,0
Al87Ce13Cu0,0
Al88Ce2Cu10,0
Al94Ce6Cu0,0
Al2Ce6Cu92,0
Al4Ce4Cu92,0
Al6Ce4Cu90,0
Al10Ce2Cu88,0
Al10Ce10Cu80,0
Al12Ce6Cu82,0
Al12Ce10Cu78,0
Al14Ce6Cu80,0
Al14Ce8Cu78,0
Al14Ce10Cu76,0
Al80Ce10Fe10,1
Al83Ce7Fe10,1
Al85Ce5Fe10,1
Al85Ce10Fe5,1
Al87Ce8Fe5,1
Al88Ce2Fe10,1
Al88Ce10Fe2,1
Al90Ce3Fe7,1
Al90Ce10Fe0,1
Al91Ce9Fe0,1
Al92Ce8Fe0,1
Al93Ce7Fe0,1
Al90Ce5Fe5,1
Al75Ce15Fe10,0
Al88Ce12Fe0,0
Al89Ce11Fe0,0
Al75Ce10Fe15,0
Al80Ce15Fe5,0
Al84Ce2Fe14,0
Al87Ce13Fe0,0
Al89Ce1Fe10,0
Al94Ce2Fe4,0
Al94Ce4Fe2,0
Al94Ce6Fe0,0
Al85Ce10Mn5,1
Al86Ce10Mn4,1
Al88Ce10Mn2,1
Al90Ce10Mn0,1
Al91Ce9Mn0,1
Al92Ce8Mn0,1
Al93Ce7Mn0,1
Al83Ce10Mn7,0
Al87Ce8Mn5,0
Al88Ce12Mn0,0
Al89Ce6Mn5,0
Al89Ce11Mn0,0
Al80Ce10Mn10,0
Al85Ce5Mn10,0
Al87Ce13Mn0,0
Al88Ce2Mn10,0
Al94Ce6Mn0,0
Al93Ce2Mn5,0
Al94Ce2Mn4,0
Al80Ce10Nb10,1
Al83Ce7Nb10,1
Al85Ce10Nb5,1
Al87Ce8Nb5,1
Al88Ce10Nb2,1
Al90Ce8Nb2,1
Al90Ce10Nb0,1
Al91Ce9Nb0,1
Al92Ce6Nb2,1
Al92Ce8Nb0,1
Al93Ce7Nb0,1
Al77Ce10Nb13,0
Al88Ce12Nb0,0
Al89Ce11Nb0,0
Al75Ce15Nb10,0
Al80Ce15Nb5,0
Al85Ce5Nb10,0
Al87Ce13Nb0,0
Al90Ce5Nb5,0
Al94Ce6Nb0,0
Al60Ce10Ni30,1
Al65Ce5Ni30,1
Al70Ce10Ni20,1
Al75Ce5Ni20,1
Al80Ce10Ni10,1
Al84Ce6Ni10,1
Al85Ce5Ni10,1
Al85Ce6Ni9,1
Al85Ce10Ni5,1
Al86Ce6Ni8,1
Al87Ce6Ni7,1
Al87Ce13Ni0,1
Al88Ce2Ni10,1
Al88Ce12Ni0,1
Al89Ce11Ni0,1
Al90Ce10Ni0,1
Al91Ce9Ni0,1
Al92Ce8Ni0,1
Al93Ce7Ni0,1
Al88Ce12Ni0,0
Al89Ce11Ni0,0
Al80Ce15Ni5,0
Al87Ce13Ni0,0
Al90Ce0Ni10,0
Al94Ce6Ni0,0
Al61Ce10Ni29,1
Al65Ce15Ni20,1
Al70Ce15Ni15,1
Al75Ce10Ni15,1
Al80Ce5Ni15,1
Al82Ce8Ni10,1
Al86Ce4Ni10,1
Al87Ce5Ni8,1
Al89Ce10Ni1,1
Al70Ce20Ni10,0
Al90Ce5Ni5,0
Al60Ce20Ni20,0
Al95Ce5Ni0,0
Al25Ce55Ni20,1
Al91Ce5Ni4,1
Al88Ce10V2,1
Al90Ce10V0,1
Al91Ce9V0,1
Al92Ce8V0,1
Al93Ce7V0,1
Al88Ce8V4,0
Al88Ce12V0,0
Al89Ce6V5,0
Al89Ce11V0,0
Al80Ce10V10,0
Al85Ce10V5,0
Al85Ce13V2,0
Al87Ce13V0,0
Al94Ce6V0,0
Al94Ce2V4,0
Al86Co12Fe2,1
Al87Co11Fe2,1
Al86Co14Fe0,0
Al87Co9Fe4,0
Al88Co2Fe10,0
Al88Co4Fe8,0
Al88Co6Fe6,0
Al88Co8Fe4,0
Al88Co10Fe2,0
Al88Co12Fe0,0
Al90Co0Fe10,0
Al90Co2Fe8,0
Al90Co4Fe6,0
Al90Co6Fe4,0
Al90Co8Fe2,0
Al90Co10Fe0,0
Al92Co0Fe8,0
Al92Co2Fe6,0
Al92Co4Fe4,0
Al92Co6Fe2,0
Al92Co8Fe0,0
Al94Co0Fe6,0
Al94Co2Fe4,0
Al94Co4Fe2,0
Al94Co6Fe0,0
Al96Co0Fe4,0
Al96Co2Fe2,0
Al96Co4Fe0,0
Al98Co0Fe2,0
Al98Co2Fe0,0
Al100Co0Fe0,0
Al84Co12Fe4,0
Al84Co14Fe2,0
Al86Co4Fe10,0
Al86Co6Fe8,0
Al86Co8Fe6,0
Al86Co10Fe4,0
Al86Co12Fe2,0
Al88Co0Fe12,0
Al42Co10Ge48,1
Al57Co18Ge25,1
Al69Co6Ge25,1
Al78Co10Ge12,1
Al25Co20La55,1
Al88Co8Mn4,0
Al88Co10Mn2,0
Al88Co12Mn0,0
Al90Co6Mn4,0
Al90Co8Mn2,0
Al90Co10Mn0,0
Al92Co4Mn4,0
Al92Co6Mn2,0
Al92Co8Mn0,0
Al94Co4Mn2,0
Al94Co6Mn0,0
Al94Co0Mn6,0
Al94Co2Mn4,0
Al96Co0Mn4,0
Al96Co2Mn2,0
Al96Co4Mn0,0
Al98Co0Mn2,0
Al98Co2Mn0,0
Al100Co0Mn0,0
Al84Co12Mn4,0
Al84Co14Mn2,0
Al86Co8Mn6,0
Al86Co10Mn4,0
Al86Co12Mn2,0
Al86Co14Mn0,0
Al88Co6Mn6,0
Al90Co2Mn8,0
Al90Co4Mn6,0
Al92Co0Mn8,0
Al92Co2Mn6,0
Al87Co1Ni12,1
Al88Co4Ni8,1
Al88Co5Ni7,1
Al87Co2Ni11,1
Al84Co8Ni8,0
Al85Co1Ni14,0
Al85Co5Ni10,0
Al85Co10Ni5,0
Al86Co0Ni14,0
Al86Co1Ni13,0
Al86Co2Ni12,0
Al86Co3Ni11,0
Al86Co5Ni9,0
Al86Co14Ni0,0
Al87Co3Ni10,0
Al87Co4Ni9,0
Al87Co5Ni8,0
Al88Co0Ni12,0
Al88Co1Ni11,0
Al88Co2Ni10,0
Al88Co3Ni9,0
Al88Co6Ni6,0
Al88Co7Ni5,0
Al88Co8Ni4,0
Al88Co9Ni3,0
Al88Co10Ni2,0
Al88Co11Ni1,0
Al88Co12Ni0,0
Al89Co1Ni10,0
Al89Co2Ni9,0
Al89Co3Ni8,0
Al89Co4Ni7,0
Al89Co5Ni6,0
Al89Co6Ni5,0
Al90Co0Ni10,0
Al90Co2Ni8,0
Al90Co4Ni6,0
Al90Co5Ni5,0
Al90Co6Ni4,0
Al90Co8Ni2,0
Al90Co10Ni0,0
Al91Co1Ni8,0
Al91Co2Ni7,0
Al92Co0Ni8,0
Al92Co2Ni6,0
Al92Co4Ni4,0
Al92Co6Ni2,0
Al92Co8Ni0,0
Al94Co6Ni0,0
Al94Co0Ni6,0
Al94Co2Ni4,0
Al94Co4Ni2,0
Al96Co0Ni4,0
Al96Co2Ni2,0
Al96Co4Ni0,0
Al98Co0Ni2,0
Al98Co2Ni0,0
Al49Co10Si41,1
Al52Co23Si25,1
Al71Co4Si25,1
Al75Co10Si15,1
Al0Co90Zr10,1
Al2Co88Zr10,1
Al5Co85Zr10,1
Al25Co20Zr55,1
Al38Cr10Ge52,1
Al61Cr10Ge29,1
Al60Cr10Ge30,1
Al65Cr20Ge15,0
Al25Cr20La55,1
Al52Cr10Si38,1
Al58Cr17Si25,1
Al68Cr10Si22,1
Al71Cr4Si25,1
Al50Cr15Si35,1
Al55Cr10Si35,1
Al55Cr15Si30,1
Al60Cr10Si30,1
Al60Cr15Si25,1
Al65Cr10Si25,1
Al59Cr19Si22,0
Al60Cr18Si22,0
Al60Cr20Si20,0
Al61Cr21Si18,0
Al62Cr19Si19,0
Al63Cr19Si18,0
Al84Cr16Si0,0
Al85Cr15Si0,0
Al86Cr14Si0,0
Al45Cr20Si35,0
Al55Cr20Si25,0
Al55Cr25Si20,0
Al57Cr23Si20,0
Al57Cr28Si15,0
Al60Cr5Si35,0
Al60Cr30Si10,0
Al65Cr25Si10,0
Al70Cr5Si25,0
Al70Cr25Si5,0
Al75Cr5Si20,0
Al80Cr5Si15,0
Al80Cr20Si0,0
Al81Cr19Si0,0
Al83Cr17Si0,0
Al96Cr4Si0,0
Al45Cr15Si40,0
Al58Cr20Si22,0
Al60Cr25Si15,0
Al63Cr15Si22,0
Al65Cr15Si20,0
Al65Cr20Si15,0
Al68Cr15Si17,0
Al70Cr10Si20,0
Al70Cr15Si15,0
Al70Cr20Si10,0
Al75Cr10Si15,0
Al75Cr15Si10,0
Al75Cr20Si5,0
Al80Cr10Si10,0
Al85Cr5Si10,0
Al85Cr10Si5,0
Al88Cr10Si2,0
Al88Cr12Si0,0
Al90Cr5Si5,0
Al90Cr10Si0,0
Al92Cr8Si0,0
Al94Cr6Si0,0
Al20Cr10Zr70,1
Al75Ce20Fe5,0
Al77Ce18Fe5,0
Al64Ce23Fe13,0
Al65Ce20Fe15,0
Al67Ce18Fe15,0
Al71Ce17Fe12,0
Al60Ce20Fe20,0
Al65Ce15Fe20,0
Al60Ce23Fe17,0
Al60Ce25Fe15,0
Al65Ce25Fe10,0
Al70Ce10Fe20,0
Al70Ce15Fe15,0
Al70Ce20Fe10,0
Al62.5Ce25Fe12.5,0
Al62.5Ce25.5Fe12,0
Al65Cu20Gd15,1
Al10Cu25Hf65,1
Al10Cu30La60,1
Al15Cu25La60,1
Al20Cu0La80,1
Al20Cu20La60,1
Al20Cu25La55,1
Al20Cu40La40,1
Al20Cu50La30,1
Al25Cu10La65,1
Al25Cu15La60,1
Al25Cu20La55,1
Al25Cu25La50,1
Al25Cu35La40,1
Al30Cu0La70,1
Al30Cu10La60,1
Al30Cu15La55,1
Al30Cu20La50,1
Al30Cu35La35,1
Al30Cu40La30,1
Al35Cu10La55,1
Al35Cu15La50,1
Al40Cu0La60,1
Al50Cu0La50,1
Al85Cu5La10,1
Al90Cu0La10,1
Al90Cu5La5,1
Al10Cu20La70,0
Al20Cu10La70,0
Al20Cu60La20,0
Al40Cu10La50,0
Al40Cu20La40,0
Al85Cu10La5,0
Al0Cu20La80,0
Al0Cu40La60,0
Al0Cu50La50,0
Al10Cu0La90,0
Al10Cu10La80,0
Al10Cu50La40,0
Al10Cu60La30,0
Al10Cu70La20,0
Al10Cu80La10,0
Al30Cu50La20,0
Al30Cu60La10,0
Al40Cu30La30,0
Al40Cu40La20,0
Al50Cu10La40,0
Al50Cu20La30,0
Al50Cu30La20,0
Al50Cu40La10,0
Al60Cu0La40,0
Al70Cu0La30,0
Al70Cu20La10,0
Al80Cu0La20,0
Al80Cu10La10,0
Al25Cu50Mn25,0
Al65Cu20Mn15,0
Al76Cu8.5Mn15.5,0
Al6Cu84Nd10,1
Al6Cu86Nd8,1
Al8Cu84Nd8,1
Al10Cu82Nd8,1
Al12Cu80Nd8,1
Al2Cu88Nd10,0
Al2Cu90Nd8,0
Al2Cu92Nd6,0
Al4Cu86Nd10,0
Al4Cu88Nd8,0
Al4Cu90Nd6,0
Al6Cu88Nd6,0
Al8Cu86Nd6,0
Al10Cu84Nd6,0
Al10Cu86Nd4,0
Al12Cu82Nd6,0
Al12Cu84Nd4,0
Al4Cu92Nd4,0
Al8Cu82Nd10,0
Al8Cu88Nd4,0
Al10Cu80Nd10,0
Al10Cu88Nd2,0
Al12Cu78Nd10,0
Al14Cu76Nd10,0
Al14Cu78Nd8,0
Al14Cu80Nd6,0
Al14Cu82Nd4,0
Al0Cu35Ti65,1
Al0Cu40Ti60,1
Al0Cu45Ti55,1
Al0Cu50Ti50,1
Al0Cu55Ti45,1
Al0Cu60Ti40,1
Al0Cu73Ti27,1
Al0Cu75Ti25,1
Al5Cu50Ti45,1
Al5Cu55Ti40,1
Al5Cu60Ti35,1
Al10Cu30Ti60,1
Al10Cu35Ti55,1
Al10Cu50Ti40,1
Al10Cu60Ti30,1
Al15Cu25Ti60,1
Al15Cu30Ti55,1
Al15Cu35Ti50,1
Al15Cu40Ti45,1
Al15Cu50Ti35,1
Al15Cu60Ti25,1
Al20Cu30Ti50,1
Al20Cu35Ti45,1
Al20Cu50Ti30,1
Al20Cu60Ti20,1
Al25Cu35Ti40,1
Al25Cu50Ti25,1
Al25Cu55Ti20,1
Al30Cu50Ti20,1
Al35Cu50Ti15,1
Al40Cu50Ti10,1
Al50Cu40Ti10,1
Al50Cu45Ti5,1
Al55Cu40Ti5,1
Al0Cu30Ti70,0
Al0Cu80Ti20,0
Al10Cu70Ti20,0
Al20Cu20Ti60,0
Al25Cu25Ti50,0
Al25Cu30Ti45,0
Al30Cu20Ti50,0
Al30Cu30Ti40,0
Al30Cu40Ti30,0
Al35Cu40Ti25,0
Al35Cu45Ti20,0
Al40Cu30Ti30,0
Al40Cu40Ti20,0
Al45Cu35Ti20,0
Al45Cu40Ti15,0
Al55Cu35Ti10,0
Al60Cu35Ti5,0
Al0Cu10Ti90,0
Al0Cu20Ti80,0
Al10Cu0Ti90,0
Al10Cu10Ti80,0
Al10Cu20Ti70,0
Al20Cu0Ti80,0
Al20Cu10Ti70,0
Al20Cu70Ti10,0
Al25Cu0Ti75,0
Al25Cu5Ti70,0
Al30Cu0Ti70,0
Al30Cu10Ti60,0
Al35Cu0Ti65,0
Al35Cu5Ti60,0
Al40Cu0Ti60,0
Al40Cu10Ti50,0
Al40Cu20Ti40,0
Al40Cu60Ti0,0
Al45Cu0Ti55,0
Al45Cu5Ti50,0
Al45Cu10Ti45,0
Al45Cu20Ti35,0
Al50Cu5Ti45,0
Al50Cu10Ti40,0
Al50Cu20Ti30,0
Al50Cu30Ti20,0
Al50Cu50Ti0,0
Al55Cu0Ti45,0
Al55Cu10Ti35,0
Al60Cu0Ti40,0
Al60Cu5Ti35,0
Al60Cu10Ti30,0
Al60Cu20Ti20,0
Al60Cu40Ti0,0
Al65Cu0Ti35,0
Al70Cu0Ti30,0
Al70Cu10Ti20,0
Al70Cu30Ti0,0
Al80Cu0Ti20,0
Al5Cu38Ti57,1
Al15Cu34Ti51,1
Al20Cu32Ti48,1
Al10Cu25Ti65,1
Al55Cu35V10,1
Al60Cu30V10,1
Al65Cu20V15,1
Al65Cu25V10,1
Al65Cu30V5,1
Al67Cu20V13,1
Al70Cu20V10,1
Al75Cu15V10,1
Al75Cu20V5,1
Al80Cu10V10,1
Al80Cu15V5,1
Al85Cu5V10,1
Al60Cu35V5,0
Al65Cu20V15,0
Al70Cu25V5,0
Al75Cu10V15,0
Al80Cu5V15,0
Al87Cu5V8,0
Al50Cu40V10,0
Al60Cu25V15,0
Al65Cu15V20,0
Al75Cu25V0,0
Al77Cu20V3,0
Al80Cu20V0,0
Al87Cu8V5,0
Al0Cu40Y60,1
Al5Cu38Y57,1
Al10Cu36Y54,1
Al15Cu34Y51,1
Al20Cu32Y48,1
Al30Cu28Y42,1
Al80Cu8Y12,1
Al85Cu6Y9,1
Al0Cu40Zr60,1
Al0Cu56Zr44,1
Al0Cu60Zr40,1
Al20Cu25Zr55,1
Al15Cu25Zr60,1
Al10Cu25Zr65,1
Al7.5Cu27.5Zr65,1
Al0Cu33Zr67,1
Al5Cu30Zr65,1
Al15Cu20Zr65,1
Al20Cu15Zr65,1
Al33.4Fe33.3Gd33.3,1
Al42Fe10Ge48,1
Al52Fe23Ge25,1
Al69Fe6Ge25,1
Al78Fe10Ge12,1
Al25Fe20La55,1
Al75Fe14Ni11,1
Al87Fe1Ni12,1
Al88Fe3Ni9,1
Al82Fe4Ni14,0
Al84Fe2Ni14,0
Al86Fe0Ni14,0
Al86Fe1Ni13,0
Al86Fe2Ni12,0
Al86Fe5Ni9,0
Al86Fe8Ni6,0
Al87Fe1Ni12,0
Al87Fe4Ni9,0
Al87Fe5Ni8,0
Al88Fe0Ni12,0
Al88Fe1Ni11,0
Al88Fe2Ni10,0
Al88Fe4Ni8,0
Al88Fe5Ni7,0
Al88Fe6Ni6,0
Al88Fe8Ni4,0
Al88Fe10Ni2,0
Al88Fe12Ni0,0
Al89Fe1Ni10,0
Al89Fe2Ni9,0
Al89Fe3Ni8,0
Al89Fe5Ni6,0
Al90Fe0Ni10,0
Al90Fe2Ni8,0
Al90Fe4Ni6,0
Al90Fe5Ni5,0
Al90Fe6Ni4,0
Al90Fe8Ni2,0
Al90Fe10Ni0,0
Al92Fe0Ni8,0
Al92Fe2Ni6,0
Al92Fe4Ni4,0
Al92Fe6Ni2,0
Al92Fe8Ni0,0
Al94Fe6Ni0,0
Al94Fe0Ni6,0
Al94Fe2Ni4,0
Al94Fe4Ni2,0
Al96Fe0Ni4,0
Al96Fe2Ni2,0
Al96Fe4Ni0,0
Al98Fe0Ni2,0
Al98Fe2Ni0,0
Al86Fe2Ni12,1
Al86Fe3Ni11,1
Al86.7Fe1Ni12.3,1
Al87Fe2Ni11,1
Al87Fe3Ni10,1
Al87.5Fe0.5Ni12,1
Al87.5Fe2Ni10.5,1
Al87.5Fe3.5Ni9,1
Al88Fe1Ni11,1
Al88.5Fe3Ni8.5,1
Al83Fe3Ni14,0
Al84Fe3Ni13,0
Al84Fe4Ni12,0
Al85Fe1Ni14,0
Al85Fe2Ni13,0
